Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-9.122e-04,4.91656
-9.120e-04,4.90781
-9.118e-04,4.91375
-9.116e-04,4.90844
-9.114e-04,4.90969
-9.112e-04,4.91156
-9.110e-04,4.91656
-9.108e-04,4.91281
-9.106e-04,4.91063
-9.104e-04,4.91406
-9.102e-04,4.915
-9.100e-04,4.91312
-9.098e-04,4.91625
-9.096e-04,4.91312
-9.094e-04,4.91656
-9.092e-04,4.91531
-9.090e-04,4.90875
-9.088e-04,4.90656
-9.086e-04,4.91188
-9.084e-04,4.91563
-9.082e-04,4.91688
-9.080e-04,4.90688
-9.078e-04,4.91719
-9.076e-04,4.91125
-9.074e-04,4.91125
-9.072e-04,4.90937
-9.070e-04,4.91156
-9.068e-04,4.91531
-9.066e-04,4.91563
-9.064e-04,4.90406
-9.062e-04,4.90875
-9.060e-04,4.90406
-9.058e-04,4.91281
-9.056e-04,4.90781
-9.054e-04,4.91875
-9.052e-04,4.91219
-9.050e-04,4.91281
-9.048e-04,4.91719
-9.046e-04,4.92031
-9.044e-04,4.9175
-9.042e-04,4.91563
-9.040e-04,4.91531
-9.038e-04,4.9125
-9.036e-04,4.91594
-9.034e-04,4.9075
-9.032e-04,4.90594
-9.030e-04,4.90656
-9.028e-04,4.90875
-9.026e-04,4.90813
-9.024e-04,4.89938
-9.022e-04,4.91
-9.020e-04,4.91344
-9.018e-04,4.91469
-9.016e-04,4.90562
-9.014e-04,4.90437
-9.012e-04,4.91031
-9.010e-04,4.91188
-9.008e-04,4.9125
-9.006e-04,4.91156
-9.004e-04,4.90625
-9.002e-04,4.90781
-9.000e-04,4.91125
-8.998e-04,4.91094
-8.996e-04,4.90937
-8.994e-04,4.90594
-8.992e-04,4.89969
-8.990e-04,4.90969
-8.988e-04,4.91781
-8.986e-04,4.91281
-8.984e-04,4.90656
-8.982e-04,4.90656
-8.980e-04,4.91875
-8.978e-04,4.91563
-8.976e-04,4.91437
-8.974e-04,4.90219
-8.972e-04,4.91
-8.970e-04,4.90937
-8.968e-04,4.91656
-8.966e-04,4.91125
-8.964e-04,4.90688
-8.962e-04,4.91
-8.960e-04,4.89562
-8.958e-04,4.91063
-8.956e-04,4.91094
-8.954e-04,4.90813
-8.952e-04,4.90844
-8.950e-04,4.91437
-8.948e-04,4.91125
-8.946e-04,4.90969
-8.944e-04,4.91625
-8.942e-04,4.90781
-8.940e-04,4.91375
-8.938e-04,4.91469
-8.936e-04,4.91188
-8.934e-04,4.90875
-8.932e-04,4.90875
-8.930e-04,4.91156
-8.928e-04,4.905
-8.926e-04,4.90562
-8.924e-04,4.89875
-8.922e-04,4.90813
-8.920e-04,4.90781
-8.918e-04,4.91594
-8.916e-04,4.91406
-8.914e-04,4.91125
-8.912e-04,4.91156
-8.910e-04,4.90875
-8.908e-04,4.90688
-8.906e-04,4.91031
-8.904e-04,4.90969
-8.902e-04,4.91
-8.900e-04,4.91
-8.898e-04,4.91281
